gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text,subject_type,V1
146,"A Little Princess
Being the whole story of Sara Crewe now told for the first time","Burnett, Frances Hodgson",73,en,Children's Literature/School Stories,Public domain in the USA.,TRUE,lcsh,"Boarding schools -- Fiction, Orphans -- Fiction, London (England) -- Fiction, Schools -- Fiction"
149,The Lost Continent,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE,lcsh,"Fantasy fiction, Science fiction, England -- Fiction"
153,Jude the Obscure,"Hardy, Thomas",23,en,Banned Books from Anne Haight's list,Public domain in the USA.,TRUE,lcsh,"Adultery -- Fiction, Children -- Death -- Fiction, Wessex (England) -- Fiction, Unmarried couples -- Fiction, Didactic fiction, Love stories, Stonemasons -- Fiction, Illegitimate children -- Fiction"
154,The Rise of Silas Lapham,"Howells, William Dean",97,en,Contemporary Reviews,Public domain in the USA.,TRUE,lcsh,"Businessmen -- Fiction, Boston (Mass.) -- Fiction, Socialites -- Fiction, Psychological fiction, Rich people -- Fiction, Domestic fiction"
155,The Moonstone,"Collins, Wilkie",98,en,Detective Fiction/Mystery Fiction,Public domain in the USA.,TRUE,lcsh,"Mystery fiction, Jewelry theft -- Fiction, Police -- England -- Fiction, East Indians -- England -- Fiction, Country homes -- Fiction, England -- Fiction"
157,Daddy-Long-Legs,"Webster, Jean",99,en,School Stories,Public domain in the USA.,TRUE,lcsh,"Boarding schools -- Fiction, Orphans -- Fiction, Schools -- Fiction, Universities and colleges -- Fiction, Epistolary fiction, Love stories, Women college students -- Fiction, Letters -- Fiction, Philanthropists -- Fiction, Women authors -- Fiction, Young women -- Fiction, Bildungsromans"
158,Emma,"Austen, Jane",68,en,NA,Public domain in the USA.,TRUE,lcsh,"Female friendship -- Fiction, England -- Fiction, Love stories, Mate selection -- Fiction, Bildungsromans, Young women -- Fiction, Humorous stories, Fathers and daughters -- Fiction"
159,The Island of Doctor Moreau,"Wells, H. G. (Herbert George)",30,en,Best Books Ever Listings/Science Fiction/Movie Books,Public domain in the USA.,TRUE,lcsh,"Islands -- Fiction, Science fiction, Shipwreck survival -- Fiction, Animal experimentation -- Fiction"
160,"The Awakening, and Selected Short Stories","Chopin, Kate",100,en,Banned Books from Anne Haight's list,Public domain in the USA.,TRUE,lcsh,"Adultery -- Fiction, Louisiana -- Social life and customs -- Fiction, Women -- Louisiana -- New Orleans -- Social conditions -- Fiction, Self-actualization (Psychology) -- Fiction, New Orleans (La.) -- Fiction"
161,Sense and Sensibility,"Austen, Jane",68,en,NA,Public domain in the USA.,TRUE,lcsh,"Domestic fiction, Gentry -- England -- Fiction, Inheritance and succession -- Fiction, Young women -- Fiction, Love stories, Mate selection -- Fiction, England -- Social life and customs -- 19th century -- Fiction, Social classes -- Fiction, Sisters -- Fiction, Regency fiction, England -- Fiction"
163,Flower Fables,"Alcott, Louisa May",102,en,Children's Literature,Public domain in the USA.,TRUE,lcsh,"Fairy tales -- United States, Short stories, Flowers -- Juvenile fiction, Flowers -- Juvenile poetry, Fairies -- Juvenile poetry, Children's stories, American"
164,Twenty Thousand Leagues under the Sea,"Verne, Jules",60,en,Science Fiction,Public domain in the USA.,TRUE,lcsh,"Science fiction, Submarines (Ships) -- Fiction, Underwater exploration -- Fiction, Sea stories"
165,McTeague: A Story of San Francisco,"Norris, Frank",103,en,NA,Public domain in the USA.,TRUE,lcsh,"Didactic fiction, Psychological fiction, Murderers -- Fiction, San Francisco (Calif.) -- Fiction, Avarice -- Fiction, Dentists -- Fiction, Married people -- Fiction"
166,Summer,"Wharton, Edith",104,en,NA,Public domain in the USA.,TRUE,lcsh,"Love stories, Young women -- Fiction, Guardian and ward -- Fiction, Berkshire Hills (Mass.) -- Fiction, Man-woman relationships -- Fiction"
169,The Well at the World's End: A Tale,"Morris, William",107,en,Fantasy,Public domain in the USA.,TRUE,lcsh,"Fantasy fiction, Quests (Expeditions) -- Fiction"
170,The Haunted Hotel: A Mystery of Modern Venice,"Collins, Wilkie",98,en,NA,Public domain in the USA.,TRUE,lcsh,"Venice (Italy) -- Fiction, Detective and mystery stories, Hotels -- Fiction"
171,Charlotte Temple,"Rowson, Mrs.",108,en,NA,Public domain in the USA.,TRUE,lcsh,"Illegitimate children -- Fiction, Soldiers -- Fiction, Teenage girls -- Fiction, New York (N.Y.) -- Fiction, Runaway teenagers -- Fiction, Elopement -- Fiction, Didactic fiction, Teenage pregnancy -- Fiction, Betrayal -- Fiction, Seduction -- Fiction, British -- New York (State) -- New York -- Fiction, Psychological fiction"
172,The Haunted Bookshop,"Morley, Christopher",109,en,Bibliomania,Public domain in the USA.,TRUE,lcsh,"Booksellers and bookselling -- Fiction, Mystery and detective stories, Brooklyn (New York, N.Y.) -- Fiction"
173,The Insidious Dr. Fu Manchu,"Rohmer, Sax",110,en,Crime Fiction,Public domain in the USA.,TRUE,lcsh,"Detective and mystery stories, Criminals -- Fiction, Fu Manchu, Doctor (Fictitious character) -- Fiction"
174,The Picture of Dorian Gray,"Wilde, Oscar",111,en,Movie Books/Gothic Fiction,Public domain in the USA.,TRUE,lcsh,"Conduct of life -- Fiction, London (England) -- History -- 1800-1950 -- Fiction, Portraits -- Fiction, Supernatural -- Fiction, Great Britain -- History -- Victoria, 1837-1901 -- Fiction, Didactic fiction, Appearance (Philosophy) -- Fiction, Paranormal fiction"
175,The Phantom of the Opera,"Leroux, Gaston",112,en,Movie Books/Gothic Fiction/Opera,Public domain in the USA.,TRUE,lcsh,"Phantom of the Opera (Fictitious character) -- Fiction, French fiction -- Translations into English, Musical fiction, Paris (France) -- Fiction, Opera -- Fiction, Horror tales, Composers -- Fiction"
176,Roderick Hudson,"James, Henry",113,en,NA,Public domain in the USA.,TRUE,lcsh,"Rome (Italy) -- Fiction, Sculptors -- Fiction, Americans -- Italy -- Fiction, Man-woman relationships -- Fiction"
177,The American,"James, Henry",113,en,NA,Public domain in the USA.,TRUE,lcsh,"Culture conflict -- Fiction, Psychological fiction, Aristocracy (Social class) -- Fiction, Widows -- Fiction, Courtship -- Fiction, Separation (Psychology) -- Fiction, Americans -- France -- Fiction, Paris (France) -- Fiction, Love stories"
178,Confidence,"James, Henry",113,en,NA,Public domain in the USA.,TRUE,lcsh,"Man-woman relationships -- Fiction, British -- Europe -- Fiction, Americans -- Europe -- Fiction, Male friendship -- Fiction"
179,The Europeans,"James, Henry",113,en,NA,Public domain in the USA.,TRUE,lcsh,"Humorous stories, Brothers and sisters -- Fiction, Europeans -- United States -- Fiction, Boston (Mass.) -- Fiction, Domestic fiction, Upper class -- Fiction"
203,Uncle Tom's Cabin,"Stowe, Harriet Beecher",115,en,Slavery/Banned Books from Anne Haight's list,Public domain in the USA.,TRUE,lcsh,"African Americans -- Fiction, Plantation life -- Fiction, Fugitive slaves -- Fiction, Master and servant -- Fiction, Didactic fiction, Slavery -- Fiction, Slaves -- Fiction, Uncle Tom (Fictitious character) -- Fiction, Southern States -- Fiction, Political fiction"
204,The Innocence of Father Brown,"Chesterton, G. K. (Gilbert Keith)",80,en,Detective Fiction,Public domain in the USA.,TRUE,lcsh,"Brown, Father (Fictitious character) -- Fiction, Detective and mystery stories, English, Catholics -- Fiction, England -- Fiction, Clergy -- Fiction"
208,Daisy Miller: A Study,"James, Henry",113,en,NA,Public domain in the USA.,TRUE,lcsh,"Young women -- Fiction, Americans -- Europe -- Fiction, Europe -- Fiction, Psychological fiction"
209,The Turn of the Screw,"James, Henry",113,en,Opera/Best Books Ever Listings/Gothic Fiction/Horror,Public domain in the USA.,TRUE,lcsh,"Children -- Fiction, Governesses -- Fiction, Psychological fiction, Ghost stories, England -- Fiction"
210,An International Episode,"James, Henry",113,en,NA,Public domain in the USA.,TRUE,lcsh,"Americans -- England -- Fiction, New York (State) -- Social life and customs -- Fiction, Manners and customs -- Fiction, London (England) -- Social life and customs -- Fiction, British -- United States -- Fiction"
211,The Aspern Papers,"James, Henry",113,en,NA,Public domain in the USA.,TRUE,lcsh,"Poets -- Fiction, Venice (Italy) -- Fiction, Manuscripts -- Collectors and collecting -- Fiction, Man-woman relationships -- Fiction, Psychological fiction"
