The Storied Life of A. J. Fikry,"Gabrielle Zevin’s enchanting novel is a love letter to the world of books--an irresistible affirmation of why we read, and why we love. “Readers who delighted in Mary Ann Shaffer and Annie Barrows’s The Guernsey Literary and Potato ...",Gabrielle Zevin
Cleanness,"Cleanness revisits and expands the world of Garth Greenwell’s beloved debut, What Belongs to You, declared “an instant classic” by The New York Times Book Review.",Garth Greenwell
What Belongs to You,"&quot; Publisher&#39;s Weekly&quot;Garth Greenwell&#39;s What Belongs to You is the Great Gay Novel for our times... an astonishing debut&quot; The New Republic&quot;A project of rare discernment and beauty, and it is not to be missed.",Garth Greenwell
Lake Success,"&quot;When his dream of the perfect marriage, the perfect son, and the perfect life implodes, a Wall Street millionaire takes a cross-country bus trip in search of his college sweetheart and ideals of youth.",Gary Shteyngart
I Was Here,"In an attempt to understand why her best friend committed suicide, eighteen-year-old Cody Reynolds retraces her dead friend&#39;s footsteps and makes some startling discoveries.",Gayle Forman
Just One Day,"Sparks fly when American good girl Allyson encounters laid-back Dutch actor Willem, so she follows him on a whirlwind trip to Paris, upending her life in just one day and prompting a year of self-discovery and the search for true love.",Gayle Forman
Where She Went,"Adam, now a rising rock star, and Mia, a successful cellist, reunite in New York and reconnect after the horrific events that tore them apart when Mia almost died in a car accident three years earlier.",Gayle Forman
A Dance with Dragons,A latest installment of the popular series follows a showdown set in the north of the Seven Kingdoms and reveals the circumstances that shaped southern-region events.,George R. R. Martin
Inland,Love story.,Gerald Murnane
Gone Girl,"What have we done to each other? These are the questions Nick Dunne finds himself asking on the morning of his fifth wedding anniversary, when his wife Amy suddenly disappears. The police suspect Nick.",Gillian Flynn
The Resisters,"The author brings an amazing story of a world that looks only too possible, and a family struggling to maintain its humanity in circumstances that daily threaten their every value and their very existence.",Gish Jen
The Rosie Project,"A socially awkward genetics professor who has never been on a second date sets out to find the perfect wife, but instead finds Rosie Jarman, a fiercely independent barmaid who is on a quest to find her biological father. Reprint.",Graeme Simsion
Human Acts,Follows the aftermath of a young boy&#39;s shocking death during a violent student uprising as told from the perspectives of the event&#39;s victims and their loved ones.,Han Kang
